ID,Name,Sex,Age,Height,Weight
1,A Dijiang,M,24,180,80
2,A Lamusi,M,23,170,60
3,Gunnar Nielsen Aaby,M,24,,
4,Edgar Lindenau Aabye,M,34,,
5,Christine Jacoba Aaftink,F,21,185,82
6,Per Knut Aaland,M,31,188,75
7,John Aalberg,M,31,183,72
8,Cornelia Cor Aalten (-Strannood),F,18,168,
9,Antti Sami Aalto,M,26,186,96
10,Einar Ferdinand Einari Aalto,M,26,,
11,Jorma Ilmari Aalto,M,22,182,76.5
12,Jyri Tapani Aalto,M,31,172,70
14,Pirjo Hannele Aalto (Mattila-),F,32,171,65
15,Arvo Ossian Aaltonen,M,22,,
16,Juhamatti Tapio Aaltonen,M,28,184,85
17,Paavo Johannes Aaltonen,M,28,175,64
18,Timo Antero Aaltonen,M,31,189,130
19,Win Valdemar Aaltonen,M,54,,
20,Kjetil Andr Aamodt,M,20,176,85
21,Ragnhild Margrethe Aamodt,F,27,163,
22,Andreea Aanei,F,22,170,125
23,Fritz Aanes,M,22,187,89
24,Nils Egil Aaness,M,24,,
25,Alf Lied Aanning,M,24,,
26,Agnes Erika Aanonsen (-Eyde),F,17,169,65
27,Johan Aantjes,M,26,,
29,Willemien Aardenburg,F,22,,
30,Pepijn Aardewijn,M,26,189,72
31,Evald rma (rman-),M,24,174,70
32,Olav Augunson Aarnes,M,23,,
34,Jamale (Djamel-) Aarrass (Ahrass-),M,30,187,76
35,Dagfinn Sverre Aarskog,M,24,190,98
36,Stefan Remco Aartsen,M,21,194,78
37,Ann Kristin Aarnes,F,23,182,64
38,Karl Jan Aas,M,20,,
39,Lars Thorlaksn Aas,M,33,,
40,Roald Edgar Aas,M,23,,
41,Rolf Aas,M,28,,
43,Morten Gjerdrum Aasen,M,34,185,75
44,Meelis Aasme,M,25,182,73
45,Hakon Aasns,M,41,,
46,Hans Aasns,M,33,194,93
47,Erling Rudolf Aastad,M,22,177,74
48,Abdelhak Aatakni,M,24,,64
49,Moonika Aava,F,24,168,65
50,Arvi Aavik,M,22,185,106
51,Nstor Abad Sanjun,M,23,167,64
52,Patrick Abada,M,22,189,80
53,Talaat Abada,M,24,172,58
54,Mohamed Jamshid Abadi,M,,,
55,Antonio Abadia Beci,M,26,170,65
56,Ren Abadie,M,21,,
57,Borislav Abadzhiev,M,24,176,66
58,Georgi Abadzhiev,M,,,
59,Ivan Nikolov Abadzhiev,M,24,164,71
60,Mikhail Abadzhiev,M,24,172,75
61,Stefan Abadzhiev,M,26,175,72
62,Giovanni Abagnale,M,21,198,90
63,Jos Luis Abajo Gmez,M,30,194,87
64,MBairo Abakar,M,31,,
65,Patimat Abakarova,F,21,165,49
66,Mohamed Abakkar,M,,156,48
67,Mariya Vasilyevna Abakumova (-Tarabina),F,22,179,80
68,Pablo Martn Abal,M,23,178,76
69,Tamara Abalde Daz,F,19,185,72
70,Jess Iory Aball Martnez,M,26,167,65
71,Juan Antonio Aball Delgado,M,27,172,82
72,Aleksey Aleksandrovich Abalmasov,M,24,180,83
73,Luc Abalo,M,23,182,86
74,Mara Laura Abalo,F,30,182,73
75,Giorgos Abalof,M,22,178,70
76,Jouan Patrice Abanda Etong,M,22,185,82
77,Antoine Abang,M,27,166,75
78,Salim Abanoz,M,26,,
79,Carlos Abarca Gonzlez,M,23,,
80,Jos Mara Abarca Plotas,M,22,186,83
81,Georgios Abaris,M,22,190,77
82,Enrique Abaroa Martnez,M,26,183,75
83,Carlos Arturo Abarza Chavez,M,22,,
84,Stephen Anthony Abas,M,26,165,55
86,Jos Manuel Abascal Gmez,M,22,182,67
87,Rostom Omeris dze Abashidze,M,29,188,97
88,Nunu Dzhansuhivna Abashydze (-Myslaieva),F,25,168,105
89,Rodrigo Abasolo,M,21,,
90,Tamila Rashidovna Abasova,F,21,163,60
91,Emanuele Abate,M,27,190,80
92,Ignazio Abate,M,21,180,73
93,Jol Marc Abati,M,34,190,85
94,Ral Abatte,M,38,,
95,Georgia Abatzidou,F,35,155,43
96,Carlos Rodolfo Abaunza Balladares,M,18,168,60
97,Carlos Alberto Abaunza,M,16,180,70
98,Hctor Abaunza,M,30,169,75
99,Pter Abay,M,30,181,79
100,Oszkr Abay-Nemes,M,22,,
101,Adeyemi Abayomi,M,25,170,51
102,Sayed Fahmy Abaza,M,,,
103,Silvano Abba,M,25,,
104,Gana Abba Kimet,M,26,,
105,Ilyas Abbadi,M,19,175,75
106,Agostino Abbagnale,M,22,188,96
107,Carmine Abbagnale,M,22,182,90
108,Giuseppe Abbagnale,M,20,187,97
109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23,176,64
110,Abubakar Abbas Abbas,M,20,175,66
111,Aqarab Abbas,M,22,190,88
112,Aziz Abbas,M,21,169,67
113,Bassim Abbas Kati Al-Ogaili,M,22,175,80
114,Essa Abbas Faleh Hashem,M,20,160,65
115,Ghulam Abbas,M,24,181,74
116,Hosni Mohamed Abbas,M,28,,60
117,Maher Abbas,M,22,178,78
118,Mahmoud Abbas,M,22,165,65
119,Mohamed Fakhry Rifaat Abbas,M,19,,
120,Mohammed Abbas Sabih,M,26,170,70
121,Muhammad Abbas,M,23,168,55
122,Nader Sufyan Abbas,M,28,173,77
123,Sohail Abbas,M,25,178,80
124,Youssef Mohamed Abbas,M,31,,
125,Zulkifli Abbas,M,28,170,62
126,Forough Abbasi,F,20,164,58
127,Shakeel Abbasi,M,20,165,60
128,Soulmaz Abbasi Azad,F,28,173,60
129,Ruslan Abbasov,M,22,181,74
130,Tural Abbasov,M,18,182,76
131,Tran Abbasova,F,33,159,53
132,Simona Abbate,F,28,171,64
133,Franz Abb,M,,,
134,Christian Abbiati,M,23,192,90
135,Lois Abbingh,F,23,178,72
136,Alessandro Abbio,M,29,195,85
137,Giordano Giulio Abbondati,M,15,175,64
138,Salwan Jasim Abbood Abbood,M,24,180,104
139,George Ioannis Abbot,M,,,
141,Clare Abbott,F,30,167,58
142,David Dave Abbott,M,26,183,75
143,Desmond Des Abbott,M,21,184,87
144,Geoffrey Grant Abbott,M,23,179,80
145,Jeremy Abbott,M,24,175,70
146,Jeremy Abbott,M,19,179,71
149,Mara Katherine Abbott,F,30,163,52
150,Margaret Ives Abbott (-Dunne),F,23,,
151,Mary Perkins Ives Abbott (Perkins-),F,42,,
153,Monica Cecilia Abbott,F,23,191,88
154,Khadija Abbouda,F,40,165,57
155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,22,185,98
156,Mahmoud Abd El-Kader,M,23,195,94
157,Mohamed Ibrahim Abd El-Salam,M,22,192,83
158,Noha Abd Rabo,F,21,,
159,Reem Wail Abdalazem Abdalazem El-Bossaty,F,15,167,60
160,Ali Abdalla Afringi,M,25,163,57
161,Hossam Abdalla,M,28,203,97
162,Hosam Abdallah,M,25,,
163,Ismail Abdallah,M,,,
164,Maged Abdallah,M,22,,
165,Nia Nicole Abdallah,F,20,175,56
166,Omari Abdallah,M,21,168,57
167,Ould Lamine Abdallah,M,,,
168,Younis Abdallah Rabee,M,23,169,68
169,Raida Abdallah Bader,F,19,158,49
170,Maha Abdalsalam Gouda,F,18,172,61
171,Mahmoud Abdel Aziz,M,25,174,70
172,Mohamed Abdel Ellah,M,32,168,68
173,Mohamed Abdel Fatah,M,,170,69
174,Ali Mohamed Badawi Abdel Fattah Badawi,M,19,,
175,Abdelgani Hassan Abdel Fattah,M,31,,
176,Mahmoud Atter Abdel Fattah,M,,,
177,Mohamed Abdel Fattah,M,23,174,69
178,Sayed Abdel Gadir,M,23,180,56
179,Ibrahim Saad Abdel Galil,M,,176,73
180,Heba Abdel Gawad,F,18,154,48
181,Sara Abdel Gawad,F,18,153,46
182,Gamal Amin Abdel Ghani,M,29,,
183,Abdel Sattar Abdel Hadj,M,,,
184,Ragy Abdel Hady,M,30,186,100
185,Osman Abdel Hafeez,M,31,,
186,Mohamed Abdel Hafiz,M,,,
187,Moustafa Ali Abdel Halim,M,32,152,52
188,Mohamed Abdel Hamed,M,24,193,82
189,Hwad Ibrahim Abdel Hamid Lumomba,M,,162,57
190,Ibrahim Abdel Hamid,M,,,
191,Tamer Mohamed Abdel Hamid,M,20,,
192,Ahmed El-Sayed Abdel Hamid Mobarak,M,25,189,85
193,Dorri Abdel Kader Said,M,21,,
194,Moustafa Mounib Abdel Kader,M,,176,67
195,Mohamed Ali Abdel Kerim,M,24,,81
196,Mohamed Abdel Khaled,M,24,183,76
197,Abdel Latif Abdel Latif,M,28,172,68
198,Walid Abdel Maksoud,M,29,,
199,Amir Abdel Meguid,M,23,178,67
200,Mohamed Abdel Mohamed,M,24,,
201,Karim Abdel Mohsen,M,25,188,92
202,Awad Abdel Nabi Awad,M,19,198,80
203,Ahmed Abdel Naeim,M,23,197,87
204,Moustafa Abdel Naser,M,21,176,74
205,Ali Abdel Radi,M,24,,
206,Amin Abdel Rahman,M,18,,
207,Mohamed Fathallah Abdel Rahman,M,21,,
208,Fathi Ali Abdel Rahman,M,20,,
209,Ibrahim Abdel Rahman,M,,,
210,Khaled Abdel Rahman,M,27,188,79
211,Sameh Abdel Rahman,M,16,,
212,Yasser Abdel Rahman Sakr,M,30,180,120
213,Samy Abdel Razek,M,28,170,60
214,Mohamed Youssef Abdel Razik,M,21,,
215,Ibrahim Ahmed Abdel Rehim,M,21,190,83
216,Kamal Abdel Rehim,M,26,190,95
217,Reskalla Mohamed Abdel Rehim,M,22,165,48
218,Ahmed Ali Abdel Samad,M,27,195,95
219,Ali Abdel Sami,M,28,,
220,Mohamed Abdel Sami,M,,,
221,Sameh Abdel Waress Muhammad,M,24,,
222,Mohamed Said Abdel Wehab,M,22,157,48
223,Mahmoud Abdel-Aal,M,19,,
224,Mohamed Abdel-El,M,,,
225,Shaimaa Abdel-Latif-Hashad,F,23,165,57
226,Sanad Bushara Abdel-Nadif,M,,,
227,Ahmed Abdelaal,M,27,188,89
228,Mahmoud Abdelaal,M,24,176,60
229,Mohamed Ali Abdelaal,M,26,175,81
230,Moustafa Abdelal,M,,,
231,Mahmod Abdelaly,M,41,,
232,Ibrahim Ramadan Ibrahim Abdelbaki,M,24,173,77
233,Aziza Abdelfattah,F,17,159,51
234,Abdalla Abdelgadir El-Sheikh,M,21,170,58
235,Magdi Abdelghani Sayed Ahmed,M,25,,
236,Ragab Abdelhay Saad Abdelrazek Abdallah,M,21,170,94
237,Ben Ahmed Abdelkrim,M,20,,
238,Mohamed Abdellah,M,36,170,70
239,Ayoub Abdellaoui,M,23,184,68
240,Leila Abdelmoez,F,19,160,46
241,Sayed Abdelmonem Sayed Hamed,M,23,170,60
242,Ahmed Abdelrahman,M,20,165,60
243,Ihab Abdelrahman El-Sayed Abdelrahman,M,23,194,96
244,Raouf Abdelraouf,M,22,167,63
245,Abouelfetoh Abdelrazek,M,21,,
246,Mamdouh Abdelrehim,M,26,207,90
247,El-Hachemi Abdenouz,M,24,170,63
248,Rda Abdenouz,M,19,170,63
249,Mouni Abderrahim,F,22,173,60
250,Saeid Morad Abdevali,M,22,170,80
251,Bashir Abdi,M,27,176,56
252,Youcef Abdi,M,30,178,66
253,Jamal Abdi Hassan Abdullah,M,19,177,65
254,Talal Omar Abdillahi,M,21,170,57
255,Mahmoud Ahmed Abdin,M,21,,
256,Abdihakim Abdi Abdirahman,M,23,178,61
257,Ali Abdo,M,19,169,74
258,Hamza Abdo,M,17,,
259,Reema Abdo,F,21,173,59
260,Ahmed Abdo Mustafa,M,,,
261,Nasrollah Abdollahi,M,24,183,75
262,Yhyacinthe Mewoli Abdon,M,26,176,60
263,Hassane Abdou,M,23,185,67
264,Justin Abdou,M,29,175,85
265,Moustafa Ahmed Ismail Abdou Ali Arfah,M,31,,
266,Raouf Abdou,M,22,165,60
267,Mohamed Abdou El-Souad,M,19,180,76
268,Brahim Daoud Abdoulaye,M,25,,71
269,Fawziya Abdoulkarim,F,27,180,67
270,Alaa El-Din Abdoun,M,23,188,78
271,Ibrahim Abdrabbou,M,27,,
272,Berik Abdrakhmanov,M,30,165,60
273,Maizurah Abdul Rahim,F,17,147,50
