Games,Year,Season,City
Sport,Event
1992 Summer,1992,Summer,Barcelona
Basketball,Basketball Mens Basketball
2012 Summer,2012,Summer,London
Judo,Judo Mens Extra-Lightweight
1920 Summer,1920,Summer,Antwerpen
Football,Football Mens Football
1900 Summer,1900,Summer,Paris
Tug-Of-War,Tug-Of-War Mens Tug-Of-War
1988 Winter,1988,Winter,Calgary
Speed Skating,Speed Skating Womens 500 metres
Speed Skating,Speed Skating Womens 1000 metres
1992 Winter,1992,Winter,Albertville
1994 Winter,1994,Winter,Lillehammer
Cross Country Skiing,Cross Country Skiing Mens 10 kilometres
Cross Country Skiing,Cross Country Skiing Mens 50 kilometres
Cross Country Skiing,Cross Country Skiing Mens 10/15 kilometres Pursuit
Cross Country Skiing,Cross Country Skiing Mens 4 x 10 kilometres Relay
Cross Country Skiing,Cross Country Skiing Mens 30 kilometres
1932 Summer,1932,Summer,Los Angeles
Athletics,Athletics Womens 100 metres
Athletics,Athletics Womens 4 x 100 metres Relay
2002 Winter,2002,Winter,Salt Lake City
Ice Hockey,Ice Hockey Mens Ice Hockey
1952 Summer,1952,Summer,Helsinki
Swimming,Swimming Mens 400 metres Freestyle
1980 Winter,1980,Winter,Lake Placid
2000 Summer,2000,Summer,Sydney
Badminton,Badminton Mens Singles
Biathlon,Biathlon Womens 7.5 kilometres Sprint
1912 Summer,1912,Summer,Stockholm
Swimming,Swimming Mens 200 metres Breaststroke
Swimming,Swimming Mens 400 metres Breaststroke
1924 Summer,1924,Summer,Paris
2014 Winter,2014,Winter,Sochi
1948 Summer,1948,Summer,London
Gymnastics,Gymnastics Mens Individual All-Around
Gymnastics,Gymnastics Mens Team All-Around
Gymnastics,Gymnastics Mens Floor Exercise
Gymnastics,Gymnastics Mens Horse Vault
Gymnastics,Gymnastics Mens Parallel Bars
Gymnastics,Gymnastics Mens Horizontal Bar
Gymnastics,Gymnastics Mens Rings
Gymnastics,Gymnastics Mens Pommelled Horse
Athletics,Athletics Mens Shot Put
Art Competitions,Art Competitions Mixed Sculpturing Unknown Event
Alpine Skiing,Alpine Skiing Mens Downhill
Alpine Skiing,Alpine Skiing Mens Super G
Alpine Skiing,Alpine Skiing Mens Giant Slalom
Alpine Skiing,Alpine Skiing Mens Slalom
Alpine Skiing,Alpine Skiing Mens Combined
1998 Winter,1998,Winter,Nagano
2006 Winter,2006,Winter,Torino
2008 Summer,2008,Summer,Beijing
Handball,Handball Womens Handball
2016 Summer,2016,Summer,Rio de Janeiro
Weightlifting,Weightlifting Womens Super-Heavyweight
Wrestling,Wrestling Mens Light-Heavyweight Greco-Roman
2004 Summer,2004,Summer,Athina
1960 Winter,1960,Winter,Squaw Valley
Speed Skating,Speed Skating Mens 500 metres
Speed Skating,Speed Skating Mens 1500 metres
