ID,Team,Games,Event,Medal
4,Denmark/Sweden,1900 Summer,Tug-Of-War Mens Tug-Of-War,Gold
15,Finland,1920 Summer,Swimming Mens 200 metres Breaststroke,Bronze
15,Finland,1920 Summer,Swimming Mens 400 metres Breaststroke,Bronze
16,Finland,2014 Winter,Ice Hockey Mens Ice Hockey,Bronze
17,Finland,1948 Summer,Gymnastics Mens Individual All-Around,Bronze
17,Finland,1948 Summer,Gymnastics Mens Team All-Around,Gold
17,Finland,1948 Summer,Gymnastics Mens Horse Vault,Gold
17,Finland,1948 Summer,Gymnastics Mens Pommelled Horse,Gold
17,Finland,1952 Summer,Gymnastics Mens Team All-Around,Bronze
20,Norway,1992 Winter,Alpine Skiing Mens Super G,Gold
20,Norway,1992 Winter,Alpine Skiing Mens Giant Slalom,Bronze
20,Norway,1994 Winter,Alpine Skiing Mens Downhill,Silver
20,Norway,1994 Winter,Alpine Skiing Mens Super G,Bronze
20,Norway,1994 Winter,Alpine Skiing Mens Combined,Silver
20,Norway,2002 Winter,Alpine Skiing Mens Super G,Gold
20,Norway,2002 Winter,Alpine Skiing Mens Combined,Gold
20,Norway,2006 Winter,Alpine Skiing Mens Super G,Gold
21,Norway,2008 Summer,Handball Womens Handball,Gold
25,Norway,1920 Summer,Gymnastics Mens Team All-Around Free System,Silver
29,Netherlands,1988 Summer,Hockey Womens Hockey,Bronze
30,Netherlands,1996 Summer,Rowing Mens Lightweight Double Sculls,Silver
37,Norway,1996 Summer,Football Womens Football,Bronze
38,Norway,1920 Summer,Gymnastics Mens Team All-Around Free System,Silver
40,Norway,1952 Winter,Speed Skating Mens 1500 metres,Bronze
40,Norway,1960 Winter,Speed Skating Mens 1500 metres,Gold
56,France,1956 Summer,Cycling Mens Road Race Team,Gold
62,Italy,2016 Summer,Rowing Mens Coxless Pairs,Bronze
63,Spain,2008 Summer,Fencing Mens epee Individual,Bronze
65,Azerbaijan,2016 Summer,Taekwondo Womens Flyweight,Bronze
67,Russia,2008 Summer,Athletics Womens Javelin Throw,Silver
72,Belarus,2008 Summer,Canoeing Mens Kayak Fours 1000 metres,Gold
73,France,2008 Summer,Handball Mens Handball,Gold
73,France,2012 Summer,Handball Mens Handball,Gold
73,France,2016 Summer,Handball Mens Handball,Silver
76,Cameroon,2000 Summer,Football Mens Football,Gold
80,Spain,1996 Summer,Water Polo Mens Water Polo,Gold
84,United States,2004 Summer,Wrestling Mens Featherweight Freestyle,Silver
86,Spain,1984 Summer,Athletics Mens 1500 metres,Bronze
90,Russia,2004 Summer,Cycling Womens Sprint,Silver
93,France,2008 Summer,Handball Mens Handball,Gold
99,Hungary,1992 Summer,Fencing Mens Sabre Team,Silver
100,Hungary,1936 Summer,Swimming Mens 4 x 200 metres Freestyle Relay,Bronze
103,Italy,1936 Summer,Modern Pentathlon Mens Individual,Bronze
106,Italy,1988 Summer,Rowing Mens Quadruple Sculls,Gold
106,Italy,1996 Summer,Rowing Mens Double Sculls,Gold
106,Italy,2000 Summer,Rowing Mens Quadruple Sculls,Gold
107,Italy,1984 Summer,Rowing Mens Coxed Pairs,Gold
107,Italy,1988 Summer,Rowing Mens Coxed Pairs,Gold
107,Italy,1992 Summer,Rowing Mens Coxed Pairs,Silver
108,Italy,1984 Summer,Rowing Mens Coxed Pairs,Gold
108,Italy,1988 Summer,Rowing Mens Coxed Pairs,Gold
108,Italy,1992 Summer,Rowing Mens Coxed Pairs,Silver
139,Thessalonki-1,1906 Summer,Football Mens Football,Bronze
143,Australia,2008 Summer,Hockey Mens Hockey,Bronze
145,United States,2014 Winter,Figure Skating Mixed Team,Bronze
150,United States,1900 Summer,Golf Womens Individual,Gold
153,United States,2008 Summer,Softball Womens Softball,Silver
165,United States,2004 Summer,Taekwondo Womens Featherweight,Silver
250,Iran,2016 Summer,Wrestling Mens Middleweight Greco-Roman,Bronze
259,Canada,1984 Summer,Swimming Womens 4 x 100 metres Medley Relay,Bronze
297,Pakistan,1960 Summer,Hockey Mens Hockey,Gold
298,Pakistan,1964 Summer,Hockey Mens Hockey,Silver
316,Soviet Union,1972 Summer,Wrestling Mens Featherweight Freestyle,Gold
337,Uzbekistan,2000 Summer,Boxing Mens Light-Welterweight,Gold
339,Azerbaijan,1996 Summer,Wrestling Mens Flyweight Freestyle,Silver
339,Azerbaijan,2000 Summer,Wrestling Mens Bantamweight Freestyle,Gold
351,United States,2000 Summer,Basketball Mens Basketball,Gold
357,Tajikistan,2008 Summer,Wrestling Mens Light-Heavyweight Freestyle,Silver
359,Unified Team,1992 Summer,Athletics Mens Hammer Throw,Gold
367,Japan,1994 Winter,Nordic Combined Mens Team,Gold
379,Ethiopia,1992 Summer,Athletics Mens 10000 metres,Bronze
385,Switzerland,1924 Summer,Football Mens Football,Silver
391,United States,1924 Winter,Ice Hockey Mens Ice Hockey,Silver
392,Canada,1952 Winter,Ice Hockey Mens Ice Hockey,Gold
394,East Germany,1972 Summer,Gymnastics Womens Team All-Around,Silver
395,Canada,2012 Summer,Diving Womens Synchronized Springboard,Bronze
401,Spain,1992 Summer,Football Mens Football,Gold
404,Vesper Boat Club,1900 Summer,Rowing Mens Coxed Eights,Gold
