movieId, tilte,rating, year, duration, genre
9,Miss Jerry,5.9,1894,45,Romance
335,Soldiers of the Cross,6.1,1900,,BiographyDrama
502,Bohemios,3.8,1905,100,
574,The Story of the Kelly Gang,6.1,1906,70,BiographyCrimeDrama
615,Robbery Under Arms,4.5,1907,,Drama
630,Hamlet,3.2,1908,,Drama
675,Don Quijote,4.9,1908,,Drama
676,Don Álvaro o la fuerza del sino,4.4,1908,,Drama
679,The Fairylogue and Radio-Plays,5.2,1908,120,AdventureFantasy
739,El pastorcito de Torrente,6.3,1908,,Drama
793,Andreas Hofer,5,1909,,Drama
812,El blocao Velarde,,1909,,
814,La bocana de Mar Chica,,1909,,
838,A Cultura do Cacau,,1909,,
842,De Garraf a Barcelona,,1909,,
846,Un día en Xochimilco,,1909,,
850,Los dos hermanos,,1909,,
859,Fabricación del corcho en Sant Feliu de Guixols,,1909,,
862,Faldgruben,4.5,1909,,
867,Fiesta de toros,,1909,,
868,Fiestas de Santa Lucía - Belenes,,1909,,
869,Fiestas en La Garriga,,1909,,
879,Gira política de Madero y Pino Suárez,,1909,,
886,Hamlet Prince of Denmark,5,1910,,Drama
941,Locura de amor,4.2,1909,,Drama
947,Lægens offer,,1909,,
959,Melilla y el Gurugu,,1909,,
984,Niños en la alameda,,1909,,
992,De onde Veje,4.8,1909,,
1007,La primera y segunda casetas,,1909,,
1010,Protección de un convoy de víveres en el puente de camellos,4,1909,,
1028,Salome Mad,4.3,1909,,Comedy
1038,Sherlock Holmes VI,4.3,1910,,
1043,Smiths Knockabout Theatre,,1909,,
1049,Gøngehøvdingen,3.2,1909,,DramaWar
1051,El sueño milagroso,,1909,,
1059,O Terremoto de Benavente,,1909,,Documentary
1068,Toma caseta Z,,1909,,
1069,Toma del Gurugu,,1909,,
1080,Two of the Boys,,1909,,
1081,La vida en el campamento,,1909,,
1082,Viernes de dolores,,1909,,
1101,Abraham Lincolns Clemency,5.2,1910,,
1109,Laluminite,,1910,,
1112,Amleto,3.6,1910,,Drama
1113,Amor gitano,5.6,1910,,
1115,Ansigttyven I,4.7,1910,,Crime
1116,Ansigttyven II,4.9,1910,,
1122,The Red Inn,5.5,1910,,
1141,The Butterfly,,1910,,
1142,By Order of Napoleon,,1910,,
1147,O Centenário da Guerra Peninsular,,1910,,Documentary
1159,The Connecticut Yankee,5.6,1910,,
1163,Corrida da Rampa,,1910,,Documentary
1175,Camille,5.8,1912,,DramaRomance
1179,Desfile histórico del centenario,,1910,,
1184,Don Juan de Serrallonga,3.1,1910,58,AdventureDrama
1186,Dorothy and the Scarecrow in Oz,5.5,1910,,
1203,Excursión al Gombreny,,1910,,
1230,Gentleman Joe,5,1910,,
1240,Hamlet,3.9,1911,,Drama
1247,His Brothers Wife,,1910,,
1258,The White Slave Trade,5.8,1910,45,Drama
1277,Kapergasten,4.7,1910,,Drama
1285,The Life of Moses,5.2,1909,50,BiographyDramaFamily
1338,A Night in May,5.3,1910,,Drama
1341,Jarní sen starého mládence,,1913,,Comedy
1348,Orientalsk dans,,1910,,
1353,Paganini,5,1911,,
1358,Peder Tordenskjold,4.2,1910,,
1359,A Pesca do Bacalhau,,1910,,Documentary
1364,El pobre Valbuena,,1910,,
1366,Un portero modelo,,1910,,
1370,Rainha Depois de Morta Inês de Castro,5.2,1910,,DramaHistory
1379,A Record Hustle Through Foggy London,,1910,,
1381,En rekrut fra 64,5.5,1910,,DramaWar
1382,Revolução de 5 de Outubro,,1910,,Documentary
1386,Le roi des parfums,4.6,1910,,
1422,Trail to the West,,1910,,
1440,Valdemar Sejr,4.8,1910,,DramaHistory
1465,As Últimas Inundações do Tejo em Santarém,,1910,,
1475,Amor fatal,7.5,1911,,DramaRomance
1495,A Balkan Episode,,1911,,
1498,The Battle of Trafalgar,7.7,1911,51,War
1515,The Brand,,1911,,
1521,En bryllupsaften,,1911,,
1530,The Bushrangers Bride,6,1911,,Drama
1531,Captain Starlight or Gentleman of the Road,4.6,1911,,
1555,Cortejo Cívico,,1911,,
1569,The Daddys Dream,,1911,,
1586,A Dogs Tale,3.8,1911,,
1592,Ekspeditricen,,1911,45,
1602,El fantasma del castillo,,1911,,
1603,Den farlige leg,,1911,,Drama
1604,The Fatal Wedding,,1911,,Drama
1628,The Four Poster Pest,,1911,,
1630,Der fremde Vogel,5.7,1911,45,
1648,The Golden West,,1911,,
1706,The Infant at Snakeville,4.5,1911,,
1711,Jahreszeiten des Lebens,,1915,,
1712,Jane Shore,,1911,,
1716,Julius Caesars Sandals,,1911,,
1731,The Convict Hero,,1911,,Drama
1756,Lucha por la herencia,,1911,92,
