actorId,name, byear, dyear 
0000011,Gary Cooper,1901,1961
0000022,Clark Gable,1901,1960
0000024,John Gielgud,1904,2000
0000036,Buster Keaton,1895,1966
0000064,Edward G. Robinson,1893,1973
0000122,Charles Chaplin,1889,1977
0000252,Robert Ellis,1892,1974
0000472,Boris Karloff,1887,1969
0000509,Bela Lugosi,1882,1956
0000731,Brian Aherne,1902,1986
0000779,Roscoe Fatty Arbuckle,1887,1933
0000858,John Barrymore,1882,1942
0000859,Lionel Barrymore,1878,1954
0000875,L. Frank Baum,1856,1919
0000891,Wallace Beery,1885,1949
0000964,Charles Boyer,1899,1978
0000974,Walter Brennan,1894,1974
0001008,Frank Capra,1897,1991
0001067,Jackie Coogan,1914,1984
0001195,Douglas Fairbanks Jr.,1909,2000
0001196,Douglas Fairbanks,1883,1939
0001211,W.C. Fields,1880,1946
0001230,Harrison Ford,1884,1957
0001316,Oliver Hardy,1892,1957
0001366,Leslie Howard,1893,1943
0001417,Brian Keith,1921,1997
0001635,William Powell,1892,1984
0001651,Basil Rathbone,1892,1967
0001908,Gilbert M. Broncho Billy Anderson,1880,1971
0001932,Richard Barthelmess,1895,1963
0001935,Noah Beery,1882,1946
0002001,Maurice Chevalier,1888,1972
0002031,Michael Curtiz,1886,1962
0002046,Brian Donlevy,1901,1972
0002118,Alan Hale,1892,1950
0002143,Edward Everett Horton,1886,1970
0002154,Alfred Abel,1879,1937
0002158,Edvin Adolphson,1893,1979
0002161,Hans Albers,1891,1960
0002183,George Arliss,1868,1946
0002209,John McDermott,1893,1946
0002233,Erich von Stroheim,1885,1957
0002311,Montagu Love,1880,1943
0002379,Hans Moser,1880,1964
0002503,Harry Carey,1878,1947
0002504,Herbert Beerbohm Tree,1852,1917
0002816,Miguel Ligero,1890,1968
0003124,Pedro de Cordoba,1881,1950
0003193,Harry Davenport,1866,1949
0003248,Fritz Rasp,1891,1976
0003377,Harry Langdon,1884,1944
0003424,Hank Mann,1887,1971
0003706,Tim McCoy,1891,1978
0003866,Donald Brian,1875,1948
0003895,Ramon Novarro,1899,1968
0004464,Heinz Rühmann,1902,1994
0005634,Sepp Allgeier,1895,1968
0005706,George J. Folsey,1898,1988
0005959,Giuseppe Becce,1877,1973
0007207,Hans Unterkircher,1895,1971
0007215,King Baggot,1879,1948
0007220,Ricardo Cortez,1900,1977
0007221,Maurice Costello,1877,1950
0007306,Hauk Aabel,1869,1961
0007313,Linus Aaberg,,
0007539,John Aasen,1890,1938
0007813,Hector Abbas,1884,1942
0007853,Charles S. Abbe,1860,1932
0007855,Yutaka Abe,1895,1977
0007967,Frank Abbott,1878,1957
0007982,Jack Abbott,1886,1964
0008101,Abd-El-Kader,,
0008518,Edward Abeles,1869,1919
0008561,Bror Abelli,1880,1962
0008658,Master Abernathy,,
0008759,William L. Abingdon,1859,1918
