movieId,actorId,character
0000009,0183823,Mr. Hamilton
0000009,1309758,Chauncey Depew - the Director of the New York Central Railroad
0000335,1012612,
0000335,1011210,
0000335,1012621,
0000335,0675239,Lion
0000335,0675260,Lion
0000502,0215752,
0000502,0252720,
0000574,0846894,School Master
0000574,3002376,Steve Hart
0000615,3071427,Warrigal
0000615,0581353,Warder
0000615,0888988,Inspector of Police
0000615,0240418,Trooper
0000615,0346387,Curate
0000676,0097421,
0000676,0140054,
0000679,0000875,The Wizard of Oz Man
0000679,0122665,His Majesty the ScarecrowPara Bruin - the Rubber Bear
0000679,0933446,Nick Chopper - Tin WoodmanThe White Rabbit
0000679,2924919,Tik-Tok - the Machine Man
0000862,5289318,Doktor
0000862,5289829,Charles
0000862,0386036,Fader Loriot
0000862,0511080,Blegnæb
0000862,5188470,Vært
0000886,0609814,Hamlet
0000941,0034453,
0000941,0140054,
0000941,0243918,
0000947,0488932,
0001049,0104856,Tam
0001049,0251436,
0001049,0526190,Gøngehøvdingen
0001049,5188470,Ib
0001049,5217890,Mogens Krabbe
0001101,0923594,
0001112,0135493,Hamlet
0001115,0064953,Chief of Police
0001115,0085066,Pariserdrengen
0001115,0169878,Svi-Svi
0001115,0299757,Røret
0001115,1834296,
0001115,0539049,
0001115,0627140,
0001116,0064953,
0001116,0085066,
0001116,0169878,
0001116,0299757,
0001116,0306604,
0001116,0539049,
0001116,0627140,
0001122,0167461,
0001122,0756543,
0001122,0941542,
0001159,0597995,
0001175,0854414,Armand Duval
0001175,0135053,Sadoul
0001175,0363465,
0001184,0735618,
0001230,0002503,
0001240,1266474,
0001240,0627274,Hamlet
0001240,0381005,Claudius
0001240,1267460,Laertes
0001240,1266292,Horatio
0001240,0742120,
0001258,2528881,
0001258,1458507,
0001258,1459190,Annas Dad
0001277,0169878,Salomon Baadsmand
0001277,0299757,Landsforræder
0001277,0772788,Kapergasten
0001285,0366742,Moses
0001285,0401967,
0001285,0448682,
0001341,1024681,Tobiás
0001341,0782422,Oskar
0001341,0952034,Forester
0001341,0468351,Landlord
0001358,5227562,Ole Vandhund
0001358,1159832,
0001358,0234670,
0001370,0764002,D. Pedro I
0001370,0105501,D. Afonso IV
0001381,0927690,Recruit
0001381,2547818,
0001381,0511155,
0001381,1261170,
0001381,5223669,Farmer
0001381,0835591,Captain
0001422,0001908,
0001440,0539049,Graf Otto
0001440,0064953,
0001440,0085066,Bödvar
0001440,0169878,Westhard
0001440,0299757,Valdemar Sejr
0001475,1616439,
0001475,1617025,
0001475,1714653,
0001498,0095809,Lord Nelson
0001498,0697944,Lieutenant Prescott
0001498,0330280,Captain Hardy
0001498,0644728,The Ships Surgeon
0001498,1372000,Undetermined Role
0001521,0227602,Johan - Bridegroom
0001530,0738202,Edgar DalmoreCaptain Midnight
0001530,0519315,
0001531,0627427,
0001531,0738202,Captain Starlight
0001531,0909492,
0001592,0927690,Edgar their son
0001592,0647719,Laege
0001592,0740463,Geheimraaden
0001602,0728158,
0001602,0216941,
0001602,0260771,
0001602,0328322,
0001603,5239890,Gram
0001603,0227602,Erik
0001603,0511223,Peter
0001603,0512539,S. Petersen
0001603,0583207,Johannes von Falck
0001604,0030667,Frankie
0001604,0181848,Toto
0001604,0254852,Constable OReilly
0001604,0328760,
0001604,0376556,Reverend Dr Lanceford
0001630,0585785,Sir John Wolton
0001630,0707778,Mr. Herbert Bruce
0001630,0166547,Max
0001630,0473134,
0001706,0001908,Broncho Billy
0001706,0138771,
0001706,0865178,
0001706,0693055,
0001706,0639631,
0001706,0533615,
0001711,0009872,
0001711,0002161,
0001731,0519315,Gabbett
0001756,0034454,
0001756,0034548,
0001756,0679170,
0001790,0470307,Jean Valjean
0001790,0959921,Javert
0001812,0294276,Oedipus
0001826,0511729,
0001826,0002001,
0001889,0159725,Ravaud blind organist
0001889,0483943,Ali Baba
0001889,2542283,
0001889,0772797,
0001892,0699637,Grev Johan Waldberg
0001892,0375839,Hofjuveler A. Hirsch
0001892,0016799,
0001892,0282348,
0001911,0627427,King Charles II
0001911,0492661,Lord Jeffries
0001911,0167411,Lord Rochester
0001914,0917744,Junger Maler Marten
0001914,0016799,Vater Meyer
0001914,0783027,Maler Prof. Harlow
0001914,0937377,Hans Braun
0001964,0932878,
0001964,0643138,Marquis de Bougival
0001964,0883519,Lieutenant von Mallwitz
0001964,0016799,Vujrat leader of the partisans
0001964,0666749,
0002022,0538779,
0002022,0789401,
0002026,0115982,Annys far
0002026,0027708,Willmann grossereren
0002026,0959066,Grossererens sønn
0002026,0064944,Snapp bankkasserer
0002031,0007221,Orlando
0002060,0126594,
0002060,0434130,
0002088,1553125,
0002101,0906610,Venditius - a Roman Soldier
0002101,1950505,Antony - a Triumvir and General
0002101,0397513,Pharon - a Greek Slave and Fisherman
0002119,0898366,
0002130,0660139,Dante Alighieri
0002130,0685283,Virgilio
0002130,0209738,Farinata degli UbertiPier delle VigneIl conte Ugolino
0002130,3942815,Il conte Ugolino
0002140,0898366,
0002152,0624652,
0002153,0699637,Grev Willy von Rosenörn
0002153,0159779,Sagfører
0002153,0381005,Cirkusdirektør Winge
0002153,0414716,Gamle John - tjener hos greven
0002153,1266474,Cirkusrytter
0002153,0647719,Værtshusgæst
0002156,0684029,
0002157,0488932,Boss Huller
0002157,0775568,Artinelli
0002163,0509573,Graf Elimar
0002163,0549989,Johannes Hartwig
0002186,0517327,Cirkusgæst
0002186,0653174,Borgmester Strøm
0002186,0421656,Laurento Linedanser
0002199,0446092,Herod
0002199,0087381,Jesus - the Man
0002199,0245769,Jesus as a Youth
0002199,0605017,Pilate
0002199,0014707,John the Baptist
0002199,0897085,Judas
0002211,0699637,Lieutenant Victor
0002211,0116796,Col. Tillier
0002211,1531372,
0002211,2529677,Rafn
0002211,0491498,
0002211,2528881,
0002262,0869559,
0002281,0285643,Colonel James Bryson
0002281,0583645,Lieutenant White
0002281,0794405,The Sioux Chief
0002281,0010134,Telegrapher
0002328,0294276,King Midas
0002329,3501535,Dezsõ gróf
0002329,0813922,Mel gróf
0002329,3524487,Az öreg gróf
0002329,2099703,Kázmér herceg
0002333,0121549,Wilder Christoph
0002333,1495193,Der Dorfpfarrer
0002333,1493129,Leutnant a.D. Huber
0002333,0016799,
0002337,0124279,Bob Strong
0002337,0913341,John White
0002348,0216031,Vater von Elinor
0002361,0058020,Rev. A. Cette
0002361,0198549,Capt. Rudolph von Scarsbruck
0002361,0328760,Father Gerard
0002361,0377987,Maj. Donelli
0002361,0397639,Cpl. Otto
0002375,0135053,
0002375,0503415,
0002375,0578805,
0002375,0959921,
0002395,0304098,
0002395,0869559,
0002405,0514281,Mr. Brownlow
0002405,0329522,Fagin
0002405,0736778,Artful Dodger
0002405,0553290,Bill Sykes
0002405,0571760,Monks
0002405,0713815,Bates
0002406,1361626,Artful Dodger
0002406,0573033,Fagin
0002406,0747454,Bill Sykes
0002406,1360649,Mr. Brownlow
0002410,0294276,Dennis
0002423,0417837,König Louis XV
0002423,0509573,Armand De Foix
0002423,0903235,Graf Jean Dubarry
0002445,0637019,Vinicius
0002445,0784988,Petronius
0002445,0146335,Nero
0002446,0069295,
0002452,0218404,Carol I
0002452,0636620,Osman Pasa
0002452,1995281,Tarul Alexandru II
0002461,0312600,King Edward IV
0002461,0911963,Richard Duke of Gloucester afterward Richard III
0002461,0306817,Prince Edward of Lancaster
0002461,0443857,Earl of Richmond
0002467,0294276,
