movieId, title,rating, year, duration, genre
0000009,Miss Jerry,0,1894,45,Romance
0000335,Soldiers of the Cross,0,1900,,BiographyDrama
0000502,Bohemios,0,1905,100,
0000574,The Story of the Kelly Gang,0,1906,70,BiographyCrimeDrama
0000615,Robbery Under Arms,0,1907,,Drama
0000630,Hamlet,0,1908,,Drama
0000675,Don Quijote,0,1908,,Drama
0000676,Don Álvaro o la fuerza del sino,0,1908,,Drama
0000679,The Fairylogue and Radio-Plays,0,1908,120,AdventureFantasy
0000739,El pastorcito de Torrente,0,1908,,Drama
0000793,Andreas Hofer,0,1909,,Drama
0000812,El blocao Velarde,0,1909,,
0000814,La bocana de Mar Chica,0,1909,,
0000838,A Cultura do Cacau,0,1909,,
0000842,De Garraf a Barcelona,0,1909,,
0000846,Un día en Xochimilco,0,1909,,
0000850,Los dos hermanos,0,1909,,
0000859,Fabricación del corcho en Sant Feliu de Guixols,0,1909,,
0000862,Faldgruben,0,1909,,
0000867,Fiesta de toros,0,1909,,
0000868,Fiestas de Santa Lucía - Belenes,0,1909,,
0000869,Fiestas en La Garriga,0,1909,,
0000879,Gira política de Madero y Pino Suárez,0,1909,,
0000886,Hamlet Prince of Denmark,0,1910,,Drama
0000941,Locura de amor,0,1909,,Drama
0000947,Lægens offer,0,1909,,
0000959,Melilla y el Gurugu,0,1909,,
0000984,Niños en la alameda,0,1909,,
0000992,De onde Veje,0,1909,,
0001007,La primera y segunda casetas,0,1909,,
0001010,Protección de un convoy de víveres en el puente de camellos,0,1909,,
0001028,Salome Mad,0,1909,,Comedy
0001038,Sherlock Holmes VI,0,1910,,
0001043,Smiths Knockabout Theatre,0,1909,,
0001049,Gøngehøvdingen,0,1909,,DramaWar
0001051,El sueño milagroso,0,1909,,
0001059,O Terremoto de Benavente,0,1909,,Documentary
0001068,Toma caseta Z,0,1909,,
0001069,Toma del Gurugu,0,1909,,
0001080,Two of the Boys,0,1909,,
0001081,La vida en el campamento,0,1909,,
0001082,Viernes de dolores,0,1909,,
0001101,Abraham Lincolns Clemency,0,1910,,
0001109,Laluminite,0,1910,,
0001112,Amleto,0,1910,,Drama
0001113,Amor gitano,0,1910,,
0001115,Ansigttyven I,0,1910,,Crime
0001116,Ansigttyven II,0,1910,,
0001122,The Red Inn,0,1910,,
0001141,The Butterfly,0,1910,,
0001142,By Order of Napoleon,0,1910,,
0001147,O Centenário da Guerra Peninsular,0,1910,,Documentary
0001159,The Connecticut Yankee,0,1910,,
0001163,Corrida da Rampa,0,1910,,Documentary
0001175,Camille,0,1912,,DramaRomance
0001179,Desfile histórico del centenario,0,1910,,
0001184,Don Juan de Serrallonga,0,1910,58,AdventureDrama
0001186,Dorothy and the Scarecrow in Oz,0,1910,,
0001203,Excursión al Gombreny,0,1910,,
0001230,Gentleman Joe,0,1910,,
0001240,Hamlet,0,1911,,Drama
0001247,His Brothers Wife,0,1910,,
0001258,The White Slave Trade,0,1910,45,Drama
0001277,Kapergasten,0,1910,,Drama
0001285,The Life of Moses,0,1909,50,BiographyDramaFamily
0001338,A Night in May,0,1910,,Drama
0001341,Jarní sen starého mládence,0,1913,,Comedy
0001348,Orientalsk dans,0,1910,,
0001353,Paganini,0,1911,,
0001358,Peder Tordenskjold,0,1910,,
0001359,A Pesca do Bacalhau,0,1910,,Documentary
0001364,El pobre Valbuena,0,1910,,
0001366,Un portero modelo,0,1910,,
0001370,Rainha Depois de Morta Inês de Castro,0,1910,,DramaHistory
0001379,A Record Hustle Through Foggy London,0,1910,,
0001381,En rekrut fra 64,0,1910,,DramaWar
0001382,Revolução de 5 de Outubro,0,1910,,Documentary
0001386,Le roi des parfums,0,1910,,
0001422,Trail to the West,0,1910,,
0001440,Valdemar Sejr,0,1910,,DramaHistory
0001465,As Últimas Inundações do Tejo em Santarém,0,1910,,
0001475,Amor fatal,0,1911,,DramaRomance
0001495,A Balkan Episode,0,1911,,
0001498,The Battle of Trafalgar,0,1911,51,War
0001515,The Brand,0,1911,,
0001521,En bryllupsaften,0,1911,,
0001530,The Bushrangers Bride,0,1911,,Drama
0001531,Captain Starlight or Gentleman of the Road,0,1911,,
0001555,Cortejo Cívico,0,1911,,
0001569,The Daddys Dream,0,1911,,
0001586,A Dogs Tale,0,1911,,
0001592,Ekspeditricen,0,1911,45,
0001602,El fantasma del castillo,0,1911,,
0001603,Den farlige leg,0,1911,,Drama
0001604,The Fatal Wedding,0,1911,,Drama
0001628,The Four Poster Pest,0,1911,,
0001630,Der fremde Vogel,0,1911,45,
0001648,The Golden West,0,1911,,
0001706,The Infant at Snakeville,0,1911,,
0001711,Jahreszeiten des Lebens,0,1915,,
0001712,Jane Shore,0,1911,,
